,Event,EventID,Date,Description,Latitude and Longitude,Country,City,VenueName,VenueID,Address,Website Link
0,300 Hour Yoga Teacher Training Course,419812,01 Jun-01 Jul,"Pranayamas, meditation, mantras, yoga anatomy, yogic nutrition","30.131247,78.324727",India,Rishikesh,Vedansha Institute of Vedic Science and alternative Medicine,228201,"dansha Institute of Vedic Science and alternative MedicinespanYoga St, Badrinath Rd, opposite Deccan Valley, Tapovan, Rishikesh, Uttarakhand 249192, IndiaspanIndiaspanG",https://10times.com/yoga-therapy-teachers-training
1,Instore Asia,10367,29 Jun-01 Jul,"Retail, in store design, visual merchandising, in-store marketing","19.063621,72.866955",India,Mumbai,Jio World Convention Centre,251076,"Jio World Convention CentrespanJio World Centre, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, IndiaspanIndiaspanG",https://10times.com/in-store-asia
2,ME @ 75 Research Frontiers,724127,29 Jun-01 Jul,,"13.013419,77.568078",India,Bengaluru,J. N. Tata Auditorium,4155,J. N. Tata AuditoriumspanNational Science Symposium Complex Sir CV Raman Avenue Near Indian Institute Of Science Malleswaram 18th Cross Kodandarampura Malleshwaram West Bengaluru Karnataka 560012 IndiaspanIndiaspanG,https://10times.com/e1rh-p3d2-h0r4
3,Adaah,367655,30 Jun-01 Jul,Contemporary Fashion and Lifestyle Exhibition,"28.460921,77.080458",India,Gurgaon,The Marriot Courtyard,257015,"The Marriot Courtyardspan27 B, Sector Rd, Sushant Lok 1, Sector 27, Gurgaon Haryana, Haryana 122002spanIndiaspanG",https://10times.com/adaah-noida
4,"International Conference on Agriculture, Forestry, Biotechnology and Food Science",417900,01 Jul 2022,,"13.049529,80.249610",India,Chennai,Hotel Sonas Inn Chennai,179413,"Hotel Sonas Inn Chennaispan578, Anna Salai, Teynampet, Thiru Vi Ka Kudiyiruppu, Teynampet, Chennai, Tamil Nadu 600006spanIndiaspanG",https://10times.com/icafbfs-chennai
5,Zak World of Facades India,379899,01 Jul 2022,The Region's Premier Conference on Facade Design & Engineering,"17.432569,78.385612",India,Hyderabad,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad",227941,"ITC Kohenur, a Luxury Collection Hotel, HyderabadspanPlot No.5 Survey No.83/1, Hyderabad Knowledge City, Silpa Gram Craft Village, Madhapur, Hyderabad, Telangana 500081, IndiaspanIndiaspanG",https://10times.com/zak-world-facades-india
6,International Conference on Advances in Business Management and Information Science,461282,01 Jul 2022,International Conference on Advances in Business Management and Information Science is aiming at facilitating the exchange of ideas and developments in all aspects of Business Management and Information...,"25.318932,82.987849",India,Varanasi,Hotel Abhinav International,244287,"Hotel Abhinav InternationalspanGhanti Mill, Rudra Apartment, Vidyapeeth Rd, Beside of, Vidya Vihar Colony, Shivpurwa, Varanasi, Uttar Pradesh 221002, IndiaspanIndiaspanG",https://10times.com/icabmis-varanasi
7,"National Conference on Business Management, Economics & Social Science",462312,01 Jul 2022,,"23.123888,79.967655",India,Jabalpur,Vijan Mahal,244294,"jan Mahalspan114/2 and 107, Mandla - Jabalpur Rd, Tilhari, Madhya Pradesh 482008, IndiaspanIndiaspanG",https://10times.com/ncbmess-jabalpur
8,Restaurant Awards,731441,01 Jul 2022,Building Restaurants of Tomorrow,"19.103992,72.869819",India,Mumbai,"ITC Maratha, a Luxury Collection Hotel, Mumbai",162426,"ITC Maratha, a Luxury Collection Hotel, MumbaispanSahar Elevated Rd, Sahar, Airport Area, Andheri East, Mumbai, Maharashtra 400099spanIndiaspanG",https://10times.com/e1rg-144d-p4pd
9,Career & Education Expo,469616,01 Jul 2022,,"29.802009,76.403894",India,Kaithal,Koel Complex,241287,"Koel ComplexspanNH65, Near old bus Stand, Amar Garh Colony, Kaithal, Haryana 136027, IndiaspanIndiaspanG",https://10times.com/career-education-expo-kaithal
